Komentar,Klasifikasi
Tes PCR naik daun lagi Lord...,NEGATIF
Kok tegel yo?,NEGATIF
"Di madura jg min, ada garis putih setiap hari",NEGATIF
pas 17 agustus kayaknya bersih langitnya... ?,NEGATIF
Tebar teroossss gila gila gila???,NEGATIF
Di Denpasar  juga ada dari kemarin,NEGATIF
Horeeeee booster laku keras,NEGATIF
Pak @prabowo anda kan Menhan. Ini apa pak banyak kejadian begini di seluruh wilayah udara Indonesia. Dan ini merubah cuaca cerah menjadi hujan. Otomatis merusak iklim pertanian... Sebagai Menhan apa pertanggungjawaban Bapak kepada Rakyat Indonesia?,NEGATIF
Tenang masih ada kuasa Tuhan yang melindungi kita.. Bagi yang percaya  kepadaNya.. ?????,NEGATIF
"Palembang tiap hari pasti..apalagi pagi, kdng sampe 2-3 garis putih",NEGATIF
Hati2 lur.. Jaga kesehatane,NEGATIF
Masih ada aja tuuuh...,NEGATIF
Agenda dimulai kembali,NEGATIF
copet is back,NEGATIF
Klo di @chemtrailsworldwide di negara lain banyak banget garis asepnya,NEGATIF
Ini kerjaan siapa nih @bmkgbandung ???,NEGATIF
Saya posisi bandung timur kalau cuaca cerah sering liat awan kaya gini sampai sampai malam pun ketika terang bulan juga.. Sudah pasti pilek flu demam,NEGATIF
"Tumben siang hari, biasanya malam hari para binatang-binatang itu menyebar racun semenjak masyarakat banyak yg tau",NEGATIF
"Ah shit, here we go again",NEGATIF
Pureblood ciwidey ???,NEGATIF
Irt lagi yg salah ? intinya rakyat salah yg benar yg berkuasa ?,NEGATIF
"kemarin mojokerto jg redup cuacanya,pas hr senin chemtrail berseliweran pagi&sore",NEGATIF
"Ahhh ini mah limbah buatan masa iye dr rumah penduduk segini busanye,kali sekecamatan nyuci bareng.... Payah dah anak buah mukidi pade ???",NEGATIF
Pejabat dan keluarganya emang anti kena gituan ya? Ko mereka gk mikir kesitu,NEGATIF
Kabupaten Tangerang sampe Rangkas jam 6 udh lewat. Yang lebih gokil adalah baru kali ini pesawat yg mondar-mandir yg berasal dari bandara Budiarto tidak terlihat di radar. Padahal bulan lalu hampir setiap hari lewat dan terlihat di radar. Kayanya depopulasi bener2 lagi digencarkan.,NEGATIF
Saya baru tahu berita ini dari postingan ini......beritanya tidak viral .....harus viralkan,NEGATIF
Lha penguasanya aja diatur sama penguasa?,NEGATIF
"Itu yg komen di ss ""kok penguasa diam aja?"" ,, lah itu kan penguasa yg atur n setuju untuk sebarin chemtrails dimana2 , knpa lo nanya kok mreka diam aja ,, ?",NEGATIF
Ini memang benar terjadi bahkan sejak akhir bulan juli kemarin di surabaya. Saya sendiri merasakan dampaknya. Sejak beberapa hari ini saya sudah tumbang,NEGATIF
Kejahatan itu akan kembali ke pelakunya.,NEGATIF
@dephphph iya jg ya emang panas banget sih kadang ada angin tp ga enak dibadan ..,NEGATIF
@dephphph kemungkinan bahan kimia TMC tu. Rekayasa cuaca dengan bahan kimia. Bisa dari Chemtrail (TMC udara) atau asap bakar2an bahan kimia TMC darat (biasanya disamarkan dengan bakar daun/ sampah di lahan kosong).,NEGATIF
"Ada komen kayak gini:kok penguasa diam aja ya,? ya karna ada penguasa di dalamnya...",NEGATIF
"Memang, kemarin 2 agustus langit meredup awan menutupi kek kabut tebal, dan saya jujurly kmrin 2 agustus bangun pagi sampek sore bersin? ?tpi malamnya dah mmbaik alhamdulillah, semoga segera tumbang yg berbuat dzolim kepada rakyat indonesia, Yaa Alloh Yaa Maliik Yaa 'aliim",NEGATIF
"saya coba cari di Google news, soal pencemaran sungai ini tidak hanya terjadi di Surabaya saja min, tapi juga di Bogor, Magelang, Bandung, Bengkulu, Palembang, & mungkin ada lagi yang terlewat. Semua terjadi dalam waktu yang berdekatan. Terlihat disengaja (seperti bakar2an bahan kimia TMC darat & penyebaran Chemtrails TMC udara)",NEGATIF
"Para BUSERP lagi sibuk nig bikin fact behind that fenomena...... ? Fact is fake, fake is fact,  that called  BuseRPPPP",NEGATIF
Pantesan bikin badan meriang,NEGATIF
"2 pesawat private jet mengarah ke jakarta, 1 dari singapura, 1 lagi dari us army. Coba cek pakai flightradar24",NEGATIF
"@ade_prima90 2 pesawat cesnabus army mengarah ke jakarta, cek langit jakarta sekarang ada chem gak.",NEGATIF
Ngeri nih. Air PAM juga udah ga aman tuh kayaknya. ?,NEGATIF
"adakah yg merasa badannya demam, tenggorokan kering dan batuk? ?",NEGATIF
Jakarta juga nih parah Chemtrail jadi berkabut. Bikin pusing2 linu2 ????,NEGATIF
Bikin gatal" jg mba ..makanya air PAM cm buat cuci " dan mandi masak pake yg isi ulang,NEGATIF
ditempatku pda batuk pilek,NEGATIF
"Adzab Dunia, Azab Kubur dan Neraka sekalian Do'anya jangan nanggung""",NEGATIF
Bekasi sering juga kalinya bersalju ?,NEGATIF
"Saya wktu itu abis magrib kluar rmah brsama anak istri, cuaca tba2 mndung angin kncang, udara di hidung dan tenggorokan rasanya pahit dan sangat kering di tnggorokan untung anak sma istri pkai masker jdi mreka tdak sbrapa mrasakan, dan krang lbih jm 8 mlam lngit mlai cerah kmbali udra pun rasanya biasa sperti biasanya apa ini dampak dri chemical ?",NEGATIF
Yang nyebar otak nya noob,NEGATIF
Every day cemtrail here Jateng,NEGATIF
Mo lai???,NEGATIF
Buat launching varian idiot neh ?,NEGATIF
Mereka mulai gencar lagi.,NEGATIF
"Didaerah q Kemaren sore padahal lagi hujan lur, tapi masih ada juga ?  yang lewat. Biasanya ? gak pernah lewat pas hujan turun.",NEGATIF
Cieee cebong ketemu lagi.,NEGATIF
Jangan mau diboongin pake chemtrail. Semua kekacauan berasal dari masker dan vaksin.,NEGATIF
Biar apa ?,NEGATIF
"Kalo langsung bersin2 sih kayanya kurang masuk akal, soalnya proses chemtrails itukan lama, bentuk awan dulu, awan jadi ujan, ujan kena orang baru dia bisa kena efeknya.. gitu kan min? Kalo salah maapkeun??",POSITIF
Aduhhhhhh mereka lagi,NEGATIF
Udaranya jadi bau ga sih? Udah berapa hari udara baunya aneh...kaya bau gas bocor gitu,NEGATIF
"Gak harus jadi hujan, ada yg langsung turun kebawa angin berupa serbuk putih mirip deterjen",NEGATIF
Bandung tiap hari pesawat mondar2 ke tempat padat penduduk sehari ampe 4 5 x..alhasil banyak yg sakit ampe tiap rumah bergantian..dokter ditempatku udah wanti2 tp sedih kenapa para dokter diam cuma tinggal terima pasien yg sakit??,NEGATIF
@ismotmotis udara bau kimia ampe aku ngalamin sakit udah 3 hari,NEGATIF
pesawatnya tambah gede sekarang berkat hasil jualan obat dri 2019,NEGATIF
Pantuuura cemtrail everyday,NEGATIF
Hari ini di tempatku di makassar hujan deras sekali + banjir.,NEGATIF
"@qwerizkiawan bahan chemtrail itu banyak, bukan hanya pirus, bakteri, dan zat penurun imun juga ditebar.",NEGATIF
Dii wilayah Kalideres ada pesawat AU mondar mandir luuur udh gitu cuaca mendung ..,NEGATIF
Itu asap knalpot...kata kemenkes.. ???,NEGATIF
Sore td saya udh DM video chemtrails di kota saya min,NEGATIF
"TMC tiap hari, terjadi anomali cuaca, media langsung up issue climate change.. ini entah ada oknum di dalam BRIN/ BMKG/ TNI AU (pihak2 yang terkait dengan operasi TMC) ..atau ini memang program resminya pemerintah ya.. Hari ini Babakan, Bogor banyak titik2 asap darat seharian + heli mondar mandir + udara berasap pekat + langit tertutup selimut awan seluruhnya (sinar matahari tereduksi), ini kalau di luar istilahnya -> #solargeoengineering btw, kalau ini ulah oknum, jaringannya luas juga ya.. Bogor (Jawa), Pekanbaru (Sumatra)..",NEGATIF
@ismotmotis setuju. Seringkali jg mendung tp di atas awan hitam langit sbnrnya biru cerah,NEGATIF
@tutiindahalawiyah betul bau gas bocor bedanya kalo bau gas bocor sekitar bawah aja kalo chemtrails bisa sampe kemana mana dan bikin pusing kepala,NEGATIF
Bangsat' di racuni segala arah. itu kena sawah dan ternak juga bahaya .,NEGATIF
para perpanjangan tangan iblis ini harusnya tdk usah diberi izin untuk hdup di dunia ini. Mereka sungguh membuat kerusakan. Banyak film2 holywood yg sejak lama selalu menyisipkan penampakan chemtrail di langit walau hanya beberapa detik. Itu artinya mereka telah berhasil memanipulasi pola pikir manusia bermental lemah untuk menganggap bahwa chemtrail itu adalah hal yg Umum/wajar.,NEGATIF
"Pantes kucing yg diluar sakit trus mati, di tempatku tiap hari?",NEGATIF
"@tutiindahalawiyah iya bau, kucing yg diluar mati gegara tiap hari di tempatku kek gini?",NEGATIF
@qwerizkiawan saya jemur diluar abis diginiin lgsg meriang buru buru minum amh,NEGATIF
"Itu kira"" pesawat lokal apa bukan,,,trus kalau bukan kenapa di hiarkan menebar chemteail,,??",NEGATIF
Kejam ?,NEGATIF
Yang buat saya bingung gmn cara bedain pesawat jet yg nyebarin chemtrail sama yg bener2 pesawat jet sedang lewat biasa? Karena dr jaman saya kecil sekitar 26 tahun lalu asapnya sama2 putih.. apakah jangan2 drdl sudah disebar chemtrail juga?,NEGATIF
Min ada yg blg chemtrail hoax tapi sumbernya kompas min gimana donk ? @popysusanty10,NEGATIF
Serasa lihat balapan pesawat penebar wabah,NEGATIF
"Wow..seperti chemtrail diluar negeri , bisa lihat juga di postingan @chemtrailsworldwide @slovakia_geo.engineering",NEGATIF
Semarang juga di ada,NEGATIF
Kmren di solo daerah colomadu jam 11an kelihatan,NEGATIF
Tadi siang sekitaran jakarta pusat heli bulak balik min,NEGATIF
Kemarin di Blora banyak bgt chemtrail..,NEGATIF
Klo sekarang pengaruh chemtrail apa ya? Kok kyknya gk sekuat kyk pas corona? Apa ganti gejala penyakit? Mohon infonya yg pernah kejatuhan daerahnya,NEGATIF
Blrti isi2 kartun yg gw nntn dlu udh kasih clue ya bhw skrg faktanya memang ada gahanya di dunia kartun atau film2 lain wkwk,NEGATIF
Apa isi otak pilot itu ya,NEGATIF
Depok hari kmrn dan hr ni hujan ga lama lgsg cerah kembali ya Allah ksih sehat" ????,NEGATIF
"@yu_suf9916 @vinnn_se ,Hahaha Chemtrail adalah salah satu senjatanya,tapi pas ada yg kena efeknya,yang dikambing hitamin katanya sakit gara? efek pirus copit",NEGATIF
"Edan, akeh temen kemtrele min.. Buset",NEGATIF
"Siapa yg mengoperasikan ya? Institusi apa, negara atau private kah. Bagi yg waras phenomena sesering itu pasti ada sesuatunya. Operational pesawat kan gak kecil, klo tujuannya buat menabur. Smpe skrg sy masih bertanya2. Sy mulai merasa aneh sjk 2018",NEGATIF
Pembunuhan terang2an dan rakyat hanya diam?,NEGATIF
Waspada minggu ke3 dan ke 4 kata Menkes akan meledak . pantau terus chemtrail seluruh daerah indonesia.,NEGATIF
Daily chemtrail pantura min,NEGATIF
Horeee Akhirnya jakarta kebagian hujan salju. Bertanda bahwa jakarta akan kembali menjadi domba di akhir bulan juli.,NEGATIF
Pada senang ya buat orang sakit.....ngga mikir kalau keluarga nya yang kena???,NEGATIF
Chemtrail terus ??? rakyat pilek + demam semua lalu dicap sebagai kopit. Basi... ???,NEGATIF
Daerah kali deres jam 3an ada jejak pesawat lewat tidak berselang lama kemudian ada pesawat AU lewat..,NEGATIF
Kemarin hujanan semalem pilek badan ga enak lemes sampe sekarang?,NEGATIF
Mo lai... trik lama yang orang gak peka2. Masih ada booster dan pabrik yg udah siap produksi rutin seperti makanan,NEGATIF
tadi jam 10 pesawat yg berhasap tebal melintas dikota bandung,NEGATIF
"Bener dugaan gw, tadi siang ada chemtrail 2arah?",NEGATIF
bikin jadi demam jing?,NEGATIF
pondok indah jaksel dan skitarnya tad ada nih chemtrail keliatan bgt terus ada pesawat agak gede terbang lumayan rendah. ane lagi dijlan kbetulan liatin pas lampu merah.,NEGATIF
Bekasi hampir setiap hari pesawat lewat yang tidak terdeteksi di flight radar,NEGATIF
Bener tadi siang keliatan chemtrail dr Cikarang,NEGATIF
Ada tetangga saya. Dia bilang satu deretan rumah kena semuanya. Tetapi di dia tidak berobat dan sembuh sendirian,NEGATIF
Sering bgt tuh min aer ujan berbusah di tebet,NEGATIF
"lapor, daan mogot tanggal 13 kemarin juga awan hujannya di racun sama pemerintah bang sat",NEGATIF
"Kemarin pagi hari Jum'at mau kerja, pesawat  hijau terbang rendah mengeluarkan asap tebal di Bandung",NEGATIF
Chentrail teror akhir zaman,NEGATIF
"Min tak kira akunmu sudah ga ada, waktu itu juga ngeliat di daerah ciputat pas hujan kaya gini dan masih padet menggumpal. Ko anehnya kenapa orang orang pinter g ada yg mau meneliti kandungan zat tersebut, apakah menghasilkan bahaya.",NEGATIF
"Di Jakarta pinter bro nyemprotnya nyaru.. Ketutupan polusi, jadi pesawat chemtrails ga keliatan.. Bebaass..??",NEGATIF
Depok klo pagi juga gitu min,NEGATIF
Semalem di daerah gua Kalideres pesawat udah 10 x lebih terbang rendah area pemukiman,NEGATIF
"Jangankan di luar, di dalam rumah pun kadang tiba2 kayak ada kabut mendadak, alhasil pada batuk, pilek demam..",NEGATIF
chemtrail....kan byk yg masih idup??,NEGATIF
Sumpah kalo lg kaya gitu engap bgt udara rasanya,NEGATIF
Adek saya dan temen2 nya pada sakit berjama'ah ka,NEGATIF
"Klo ane pribadi jarang keluar rumah si min, sma kerja didalam ruangan trus",NEGATIF
"Solo raya terutama kabupaten sukoharjo , cuaca cerah panas sedikit berawan, tapi hampir setiap orang yg saya temui pasti menderita sakit ntah batuk, pilek, asma, mata pedih dan sejenis itu, ga tua ga muda ga anak kecil, batuk2 rata rata....kejadian ini mirip kejadian setahun yg lalu, persis di bulan2 ini antara juni sd september, cuma tak separah taun kemaren, yg mana kasus kematian dah seperti lotre undian",NEGATIF
Malang juga min 2 hari pagi2 gelap habis itu banyak yg batuk pilek demam,NEGATIF
"Dulu pernah Di daerah saya juga gitu, kalo di lihat dari jauh berkabut n kalo hirup udara rasanya ga enak bgtt, padahal saya tinggal jauh di selatan kota Surakarta",NEGATIF
Di bandar Lampung juga min kabut asap gitu,NEGATIF
"Ya awannya settingan, jadi polusi di jkt gabisa kmana"", liat aja abis ujan awto ilang asap"" gajelas itu. Pada sotau sih pake"" chemtrail alhasil polusinya ngendep krna ketutup awan nya",NEGATIF
@alftnhllyh_ Sama persis banget ka hampir sebagian di daerahku anak kecil pada bapil+radang,NEGATIF
Di tempatku gak separah kek gitu,NEGATIF
"Kalo benar emang parah banget ni para elit,apakah kita harus diam di jadiin kelinci percobaan dan di racuni..",NEGATIF
Hati2 tar ad yg nyerang???,NEGATIF
Emang bgtu Jakarta dr gua kecil bolak balik ke laut??,POSITIF
Polusi itu,POSITIF
"Anak sy pilek, batuk, pilek lg. Udh sebulan ga sembuh2. Anak2 tetangga semua jg pada ga masuk sekolah krn batpil n demam. Mon maaf nih kalo Tuhan yg bikin cuacanya, ga mungkin sakit gini sampe ga sembuh2. Udh mikir ada campur tangan manusia2 jahil di sini.",NEGATIF
Msh nunggu the chosen one untuk menghabisi mereka smua,NEGATIF
Sepertinya semuanya memang sudah dirancang matang. Ga kepikiran tadinya gimana cara bikin gagal panen/ kelangkaan/ harga naik.. ternyata semua bisa diatur,NEGATIF
Akademisi msh bilang itu bukan chemtrail... #semuaakantelurpadawaktunya,NEGATIF
"hm.. Asap bahan2 kimia Chemtrail sewaktu masih di udara jadi polusi udara, & setelah turun terbawa hujan jadi seperti senjata kimia/ siraman bahan2 kimia yang berpotensi merusak tanaman/ menganggu kesehatan.. Jadi makin penasaran sama komposisi bahan semai TMC.. Sepertinya TMC ini pegang peranan penting dalam menjalankan agenda micin, climate change, & kelangkaan pangan ke depannya (melihat dampak yang bisa dibuat dari siraman hujan kimia & polusi asap dari pembakaran bahan semai)",NEGATIF
Kualitas udara. Sebab dan akibat,POSITIF
"Darat-laut-udara all effects include. Cuman, di masyarakat Kita ilmu Dan pemahamannya blom nyampe, Lurs. Asap cemtrail dianggap asap roket biasa lah, bensin pesawat lah, Dan kacaunya, ketika Ada hujan berbusa Dan bintik2 busa jatuh di Mobil or motor, mreka tetap ga paham. I think, like yesterday Dokter Tifa bercakap, bahwa dibutuhkan pemikiran di atas rata2 utk memahami Dan mempercayai semua Hal yg terjadi...... *Wakanda baca buku Aja ogah2an",NEGATIF
"Tidak hanya nyebarin penyakit,tp bikin kelangkaan bahan pokok yg biasa dikonsumsi sehari2,emang rencana biadab,knpa para pelaku bisa berumur panjang ya",NEGATIF
"Intinya siapa biang keladinya, masa iya pemerintah dan warga sipil diem ajah...kok ga ada yg gerak",NEGATIF
sepemikiran sama saya gan,NEGATIF
Apakah ketika menanam sekarang ga bisa yg open arean atau harus di tutup untuk menghindari effect chemtrail ini ?kalau unggas dan ternak masih bisa di kasih jamu dan herbal saya lihat beberapa peternak di Jawa menggunakan jamu untuk daya tahan tubuh ternak ya.tapi dengan tanaman how?,NEGATIF
Btw di bali lg musim bgt pd sakit sebulan bisa berkali2. Dan aneh bgt dah kejadiannya. Tp klo yg sering stay di rumah kaga kenapa2.,NEGATIF
Hmmmm para penjahat nyakitin melulu,NEGATIF
Maunyee apa siii kesel gueeee selalu bgini terus ??,NEGATIF
"Di tempat saya juga sering min,tpi orang? kyak pada gk nggeh pada biasa? aja",NEGATIF
"Klo ujan bgtu mending neduh dlu, ane sempet kena sakit mata ujan""an bgtu",NEGATIF
Kalo berbusa kenapa min ? Keanehan kah ?,NETRAL
"Fenomena kayak gitu (cmtrail) terlihat nyata tapi bagi sebagian besar orang malah ga dianggap sama sekali. Bahkan tertawa kalo mendengarkan konspirasi Dan menganggap Kita halusinasi. Bener min, I think utk melihat Dan mengerti hal2 semacam itu memang kudu dibutuhin otak jenius superbbb plus kalbu yg bersih........",NEGATIF
"Mereka ingnorant gak kuat menerima kenyataan, dan takut ilusi tentang virus halu nya jadi rusak ?",NEGATIF
semarang ke timur pagi dan sore. nih malem ujan deh,NEGATIF
PARAAHHH,NEGATIF
Pantesan udara subuh agak GK enak,NEGATIF
Skrg disebar nya tengah malam ya wkwkw ?,NEGATIF
Kab semarang pagi ini juga ada lur,NEGATIF
"5 hari yg lalu sama seperti ini di waktu malam hari ada awan panjang, 1 hari kemudian pada pilek semua tepat diatas rumah mertua gua, mereka sampe sekarang masih pilek sama pusing kepalanya ??",NEGATIF
"Tu yg bilang kondensasi pesawat. Emang sekarang masih ada penerbangan sebelum subuh? Kalo iya, yg lewat jember tu rute mana & jam berapa. Tolong pencerahannya",NEGATIF
"Semalem ronda dr jam 1 pagi udh sliweran di daerah bekasi timur, rawalumbu dan sekitar nya?",NEGATIF
Kenapa mereka sampai skr melakukan chemtrail terus ya? Padahal covid sdh menurun,NEGATIF
"Seharusnya udara pagi hari itu menyehatkan, eh sekarang malah menyakitkan",NEGATIF
Chemtril itu mereka sebarkan untuk apa ya?,NEGATIF
@yogissb ungaran hampir setiap hari cok,NEGATIF
"@r4ngg4.melenials alasan resminya TMC (modifikasi cuaca/ #weathermodification ), kalau pakai istilah pemerintah, itu proses: ""penyemaian awan"" ( #cloudseeding ), masalah kenapa itu perlu dilakukan, harus tanya ke pemerintah..",NEGATIF
@dephphph biasa pesawat2 TMC ga bisa dilacak di flight radar bro,NEGATIF
"@civitas.dei iyaa.. tapi kan mereka2 kan biasanya bilang ""itu bukan chemtrail, tapi jejak kondensasi pesawat"". Makanya sy tanya kalo lewat subuh2 di langit Jember gini tuh rute mana & jam berapa.. soalnya sejak covid kayaknya ga pernah liat ada flight subuh2",NEGATIF
"Gak berhnti chemtrails , tp hrs teruuuss di expose spy byk yg ngerti , akibat ulah org Zhaliim .,,!!",NEGATIF
"Bogor tiap hari armada udara yang ga kedetect di flight radar pasti lewat, ni hari ini lagi nunggu. Tiap kali lewat selalu saya catet waktu & efeknya ke awan/ langit/ cuaca ??",NEGATIF
"@ahmadsafiihr kalo pas jalan2 pagi suka liatin ke atas, gini amat ya langit gua chemtrails semua ??",NEGATIF
"2hr ini dimojokerto tiap jam 5 pagi cuacanya mendung gelap&udaranya gk seger,kyk org bakar2",NEGATIF
@dimaseras90 wah rawalumbu jg nih,NEGATIF
@dephphph benar juga si ? sepertinya dilakukan subuh2 supaya ga ke gap masyarakat (didokumentasiin pas lagi prosesnya). soalnya biasa di tempat saya juga pagi2 uda ada aja tu awan garis panjang di langit,NEGATIF
@moli.nda74 yg dewasa juga kena kak? kok bisa ya,NEGATIF
@yogissb iya kmaren Minggu pagi aku juga liat,NEGATIF
Kejar target,NEGATIF
"@dephphph iya, justru itu. Jejak asap bahan2 kimia yang kita sering sebut Chemtrail itu, mereka sebutnya cloud seeding. Tapi ya tetap aja aneh (karna dilakukan di tempat2 yang tidak kekurangan air/ hujan), & lagi, kalau bro search tentang silver iodide (salah satu kandungan bahan semai kimia TMC yang dipublikasi resmi), dampaknya negatif ke makhluk hidup & lingkungan. Belum lagi soal issue yang dibahas media akhir2 ini, <soal penyakit2 baru & climate change>. Ya kalau mnurut saya, dua2nya terkoneksinya di bahan2 kimia yang disebar melalui TMC/ cloud seeding/ chemtrail ini ?",NEGATIF
Gercep amatttt?,NEGATIF
Agenda setelah lebaran,NEGATIF
Ngerii..bahkan sblm matahari terbit mereka sdh bekerja keras...demi apakah?,NEGATIF
"Tempat saya jg ada siang td, panjaaaang banget, @Bangka",NEGATIF
Chemtrel mh malem2 dsini... Mkanya pagi2 langit terlihat kyk hbis dilukis,NEGATIF
Siapa yg bikinya sih,NEGATIF
Intinya kita gak di buat mati. Tapi dibikin terasa mau mati dan bergantung terus dengan obat2 an yang mereka buat agar bisnis mereka terus berjalan. Klw sehat semua nanti gak laku obatnya ?,NEGATIF
"Kayak sodara saya yg lagi mengalami, mual, lemes dedes ga karuan, pinggang linu, badan ga karuan, panas/demam, tapi ga percaya apa yg di omongin jadi yaudah lah, oiya sprtinya chemstrail akan jadi debu, jdi pke masker klo  motoran aja dan itu pun di buka tros klo ada debunya aja di tutup msk ?. Note:pureblood kebal ?",NEGATIF
"Sy habis kehujanan, hari pertama lemes, kemudian panas demam, hari 2 demam & pusing muter itu semua sembuh, dihari ke 3 malah flu & batuk. Obat jamu2 & kerokan",NEGATIF
"min dari tadi pagi heli militer uda terbang rendah muter2in kompleks ni.. ada kali 7x kalau ditotal, padahal udah mulai masuk musim kemarau, masih aja terus TMCan. Semoga kalau hujan nanti, media tidak mengkait2kan nya ke perubahan iklim. Sepertinya selama armada udara siluman masih terus aktif, issue perubahan iklim & pandemi masih akan terus bergulir..?",NEGATIF
"Gue pernah kena efek chemtrail, pas sore hari (jam 4 sore) lagi kasih makan ayam kok tiba2 muncul gerimis & gue kena gerimisnya trus malam harinya demam, badan pegal2 gitu & batuk 2 minggu baru sembuh.. Trus pas puasa kemaren minggu ke-2, pagi (skitar jam 9) ada 5 pesawat muter2 & tiba2 langit jdi mendung trus hujan tpi hujannya kyak diguyur habis itu langsung langit terang cerah..",NEGATIF
"@civitas.dei bner ni hujan sorenya. siang mendung. pagi langit biru jadi penuh awan tebal setelah si heli siluman muter2. tapi uda ketebak si, pola ini udah biasa & sepertinya masih akan terus seperti ini ke depannya untuk meng-up issue climate change. entah apa yang akan media tulis nanti soal anomali hujan di musim kemarau ini.",NEGATIF
Kalo dulu pake mobil penyemprot efeknya hampir sama yang kesemprot istri sampe iritasi kena mata abis itu sakit selang sehari satu keluarga serumah sakit semua,NEGATIF
Persis banget kayak yg saya dan suami alamin akhir feb lalu. Kl ke dokter kayaknya disuruh test? dan positif.,NEGATIF
Tapi aer ujan dari jaman dulu emang bikin sakit min makanya takut kena aer ujan gue udahnya langsung puyeng pala,POSITIF
"Buat warga Bekasi kota dan sekitarnya untuk lebih hati2 lagi, udah seminggu ini cuacanya aneh, kalo ga salah pas tanggal 1 apa 2 hujan ga sampe setengah jam deres banget abis itu air hujannya banyak busanya warna putih waktu itu saya nemuin di pertigaan harapan indah.",NEGATIF
"Cuaca hari-hari ini gak menentu kadang mendung kadang panas sampai menusuk, kabut asap dimana-mana .",NEGATIF
Kalau sapi2 yg pda sakit bahkan mati belakangan ini apa krn efek pencemaran udara Termasuk cemtrail y,NETRAL
Kena kencing pesawat luurr???,NEGATIF
"Cuaca bener2 gak menentu , sering gw amati burung2 terbang kesana kemari kek gak tau arah/bingung , utuk manusia ya jadi banyak yg sakit",NEGATIF
"Enggak tau bener atau enggak,  di tempatku sering ujan sore-malem,  tapi tanaman liar yang kecil2 di pekarangan banyak yang mati gosong",NETRAL
Itu yg hitam2 di awan itu apa ya..?,NETRAL
"Di daerah2, karena sekalinya percaya dan takut... melebihi masyarakat kota(biasanya)",NEGATIF
Dan kebanyakan orang desa dianggap bego,NEGATIF
Tetap semangat dan jangan pernah putus asa untuk terus mencerdaskan bangsa Indonesia ini,NEGATIF
"Saya peratiin abis mandat masker outdoor dicabut, chemtrail di langit makin banyak, armada udara stealth <yang kemungkinan menyebar bubuk TMC/ terkait operasi TMC> makin intens <tiap hari> & titik2 asap darat (yang spertinya dari flare asap darat TMC) juga makin sering & banyak.. Dari dulu saya selalu mikir antara issue kesehatan & climate change, keduanya 1 paket dengan TMC. ???",NEGATIF
"Wah daerah sebelah juga trnyata, tpi kyknya rata sih skrg banyak sekali chemstrail klo di perhatikan yg tdi nya panas pisan jdi hujan, awal tetes hujan aja bau kyk gmna gtu, semalam juga habis hujan keluar cukup bnyk busa .",NEGATIF
